Year,Respondent_ID,Agency_Code,Loan_Type,Property_Type,Loan_Purpose,Occupancy,Amount,Action_Type,State_Code,County_Code,Income,Purchaser_Type ,Denial_Reason_1,Property_Location,USPS_Code,GDP,Real_State_Growth_%,Rate,PMT,IncRat,Unemployemnt,AmorTer
2017,2182786,9,1,1,3,2,4200,1,8,97,2960,0,,,CO,335.00,2.10,0.04,20026.77,0.006765801,0.028,360
2017,2182786,9,1,1,1,1,964,4,36,47,335,0,,,NY,1536.60,1.30,0.04,4596.62,0.013721256,0.047,360
2017,2182786,9,1,1,3,1,1000,1,13,121,835,0,,,GA,548.40,2.70,0.04,4768.28,0.005710514,0.047,360
2017,2182786,9,1,1,3,1,625,1,51,87,245,0,,,VA,509.60,1.20,0.04,2980.17,0.012163977,0.038,360
2017,2182786,9,1,1,1,1,3760,2,6,81,1618,0,,,CA,2711.80,2.60,0.04,17928.73,0.011080796,0.048,360
2017,2182786,9,1,1,1,1,700,1,13,121,186,0,,,GA,548.40,2.70,0.04,3337.80,0.017945135,0.047,360
2017,2182786,9,1,1,3,1,1294,1,9,1,798,0,,,CT,271.70,1.50,0.04,6170.15,0.007732021,0.047,360
2017,2182786,9,1,1,1,2,428,1,37,19,761,0,,,NC,537.00,1.90,0.04,2040.82,0.002681765,0.046,360
2017,2182786,9,1,1,3,2,1540,1,27,53,891,0,,,MN,345.30,1.70,0.04,7343.15,0.00824147,0.035,360
2017,2182786,9,1,1,3,1,858,1,37,97,300,0,,,NC,537.00,1.90,0.04,4091.18,0.013637277,0.046,360
2017,2182786,9,1,1,1,1,1800,1,48,113,507,0,,,TX,1645.10,1.10,0.04,8582.90,0.016928801,0.043,360
2017,2182786,9,1,1,1,2,2000,1,30,57,757,0,,,MT,46.80,1.00,0.04,9536.56,0.01259783,0.04,360
2017,2182786,9,1,1,1,1,1425,1,34,13,614,0,,,NJ,600.20,1.60,0.04,6794.80,0.011066445,0.046,360
2017,2182786,9,1,1,1,1,600,4,8,31,177,0,,,CO,335.00,2.10,0.04,2860.97,0.016163657,0.028,360
2017,2182786,9,1,1,1,1,1500,2,34,21,525,0,,,NJ,600.20,1.60,0.04,7152.42,0.013623654,0.046,360
2017,2182786,9,1,1,3,1,1100,1,17,97,309,0,,,IL,815.50,1.40,0.04,5245.11,0.016974455,0.05,360
2017,2182786,9,1,1,3,1,5178,1,12,21,93,0,,,FL,968.00,2.70,0.04,24690.15,0.26548546,0.042,360
2017,2182786,9,1,1,3,1,1100,1,8,113,90,0,,,CO,335.00,2.10,0.04,5245.11,0.058278963,0.028,360
2017,2182786,9,1,1,1,2,5000,1,6,81,923,0,,,CA,2711.80,2.60,0.04,23841.39,0.02583033,0.048,360
2017,2182786,9,1,1,3,2,772,1,12,99,5,0,,,FL,968.00,2.70,0.04,3681.11,0.736222251,0.042,360
2017,2182786,9,1,1,3,2,5778,1,8,37,701,0,,,CO,335.00,2.10,0.04,27551.12,0.039302589,0.028,360
